"aab1.Primary.solid.Tumor" "aabh.Primary.solid.Tumor" "aabi.Primary.solid.Tumor" "X6879.Primary.solid.Tumor" "a45n.Solid.Tissue.Normal" "a45n.Primary.solid.Tumor" "X7289.Primary.solid.Tumor" "X8519.Primary.solid.Tumor" "a4bk.Primary.solid.Tumor" "a77p.Primary.solid.Tumor" "a77q.Primary.solid.Tumor" "a9tj.Metastatic" "a9tj.Primary.solid.Tumor" "a77e.Primary.solid.Tumor" "a8t5.Primary.solid.Tumor"
"adeno0" -0.391304347826086 -0.304347826086956 -0.391304347826086 0.0434782608695654 -0.478260869565217 -0.478260869565217 -0.826086956521738 0.739130434782609 0.478260869565217 0.217391304347826 -0.826086956521738 0.304347826086957 0.391304347826087 0.826086956521739 0.130434782608696
"adeno1" -0.565217391304347 -0.217391304347826 -0.130434782608695 -0.391304347826086 0.217391304347826 0.391304347826087 -0.913043478260869 -0.217391304347826 0.130434782608696 0.130434782608696 0.130434782608696 0.91304347826087 0.739130434782609 0.91304347826087 -0.521739130434782
"adeno10" 0.565217391304348 0.652173913043478 -0.999999999999999 0.739130434782609 -0.999999999999999 -0.913043478260869 0.565217391304348 -0.565217391304347 0.391304347826087 0.652173913043478 0.391304347826087 -0.565217391304347 -0.478260869565217 0.478260869565217 0.0434782608695654
"adeno11" 1 0.304347826086957 0.0434782608695654 -0.521739130434782 -0.304347826086956 1 0.130434782608696 0.91304347826087 -0.913043478260869 0.826086956521739 -0.999999999999999 -0.739130434782608 0.826086956521739 -0.999999999999999 -0.478260869565217
"adeno12" -0.913043478260869 -0.130434782608695 0.739130434782609 -0.565217391304347 0.304347826086957 0.652173913043478 -0.999999999999999 1 -0.565217391304347 0.91304347826087 0.478260869565217 -0.521739130434782 -0.739130434782608 -0.739130434782608 0.826086956521739
"adeno13" -0.652173913043478 0.826086956521739 -0.739130434782608 -0.913043478260869 -0.217391304347826 0.91304347826087 -0.521739130434782 0.130434782608696 0.826086956521739 0.565217391304348 1 1 0.652173913043478 -0.913043478260869 -0.826086956521738
"adeno14" -0.478260869565217 0.565217391304348 -0.304347826086956 -0.130434782608695 0.565217391304348 -0.826086956521738 1 0.826086956521739 -0.826086956521738 -0.826086956521738 -0.521739130434782 -0.913043478260869 0.217391304347826 -0.565217391304347 -0.391304347826086
"adeno15" -0.826086956521738 0.130434782608696 -0.521739130434782 -0.304347826086956 0.91304347826087 0.217391304347826 -0.652173913043478 0.652173913043478 0.304347826086957 -0.739130434782608 -0.565217391304347 -0.304347826086956 0.565217391304348 -0.304347826086956 1
"adeno16" -0.999999999999999 1 -0.217391304347826 -0.217391304347826 -0.739130434782608 -0.565217391304347 -0.391304347826086 -0.521739130434782 -0.999999999999999 1 0.217391304347826 -0.130434782608695 -0.217391304347826 -0.217391304347826 0.91304347826087
"adeno17" 0.217391304347826 -0.565217391304347 0.565217391304348 -0.652173913043478 0.739130434782609 -0.652173913043478 0.826086956521739 -0.826086956521738 1 -0.565217391304347 -0.652173913043478 -0.999999999999999 -0.521739130434782 -0.652173913043478 0.304347826086957
